episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
353,0,0,1,0.0,-15.22,0.4461,,,,,0.25
354,0,0,0,0.0,-5.39,0.2697,,,,,0.248
355,0,0,0,0.0,-11.74,0.4004,,,,,0.245
356,1,1,0,1.291,-42.36,0.6985,,,,,0.243
357,1,0,1,0.0,-20.64,0.484,,,,,0.241
358,1,1,0,0.296,-14.69,0.4526,,,,,0.239
359,1,1,1,1.255,-52.13,0.8362,,,,,0.237
360,0,0,0,0.0,-14.18,0.4463,,,,,0.235
361,0,0,0,0.0,-6.15,0.2997,,,,,0.233
362,0,1,0,1.264,-65.73,0.9462,,,,,0.23
363,0,0,1,0.0,-7.53,0.3282,,,,,0.228
364,1,1,1,0.955,-25.35,0.6378,,,,,0.226
365,1,0,0,0.0,-27.46,0.6356,,,,,0.224
366,1,0,0,0.0,-27.17,0.5976,,,,,0.222
367,1,0,1,0.0,-11.37,0.3938,,,,,0.22
368,0,0,1,0.0,-10.82,0.4219,,,,,0.218
369,1,1,1,0.559,-33.43,0.6121,,,,,0.216
370,0,0,1,0.0,-12.11,0.363,,,,,0.213
371,0,0,0,0.0,-12.66,0.4023,,,,,0.211
372,1,1,0,0.733,-30.15,0.6105,,,,,0.209
373,0,1,0,1.217,-67.46,1.168,,,,,0.207
374,0,0,1,0.0,-10.51,0.351,,,,,0.205
375,1,0,0,0.0,-9.77,0.3553,,,,,0.203
376,1,1,1,0.24,-9.31,0.4126,,,,,0.201
377,1,1,0,0.417,-43.76,0.752,,,,,0.198
378,1,0,1,0.0,-12.07,0.3643,,,,,0.196
379,0,1,1,0.317,-20.12,0.501,,,,,0.194
380,1,1,1,0.955,-34.27,0.6592,,,,,0.192
381,0,0,0,0.0,-4.66,0.2283,,,,,0.19
382,0,0,0,0.0,-8.17,0.3296,,,,,0.188
383,0,1,0,0.379,-37.24,0.6942,,,,,0.186
384,0,1,0,0.485,-35.46,0.7707,,,,,0.184
385,0,0,1,0.0,-9.83,0.3667,,,,,0.181
386,0,1,0,0.429,-24.6,0.5737,,,,,0.179
387,0,0,0,0.0,-10.05,0.3658,,,,,0.177
388,1,0,0,0.0,-13.32,0.4344,,,,,0.175
389,0,0,1,0.0,-10.97,0.343,,,,,0.173
390,0,1,1,0.886,-28.57,0.8027,,,,,0.171
391,1,0,1,0.0,-20.93,0.4656,,,,,0.169
392,1,0,1,0.0,-6.69,0.2533,,,,,0.167
393,1,0,0,0.0,-9.27,0.2988,,,,,0.165
394,1,0,0,0.0,-9.36,0.3271,,,,,0.162
395,1,0,1,0.0,-9.22,0.2661,,,,,0.16
396,0,0,1,0.0,-12.58,0.4056,,,,,0.158
397,1,1,1,0.711,-89.87,1.0345,,,,,0.156
398,0,0,0,0.0,-10.67,0.3513,,,,,0.154
399,0,0,1,0.0,-12.87,0.4174,,,,,0.152
