episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
349,0,0,1,0.0,-40.4,0.5378,,,,,0.258
350,1,0,1,0.0,-20.18,0.3044,0.499,0.3604,0.4511,0.6856,0.256
351,0,1,0,1.012,-162.18,1.3994,,,,,0.254
352,1,1,0,0.737,-70.43,0.6174,,,,,0.252
353,0,0,1,0.0,-35.79,0.4325,,,,,0.25
354,0,0,0,0.0,-13.86,0.2662,,,,,0.248
355,0,0,0,0.0,-25.59,0.427,,,,,0.245
356,1,1,0,1.291,-83.3,0.6733,,,,,0.243
357,1,0,1,0.0,-58.06,0.5359,,,,,0.241
358,1,1,0,0.296,-34.58,0.4319,,,,,0.239
359,1,1,1,1.255,-82.99,0.8814,,,,,0.237
360,0,0,0,0.0,-49.17,0.4593,,,,,0.235
361,0,0,0,0.0,-20.3,0.3426,,,,,0.233
362,0,1,0,1.264,-117.5,0.9496,,,,,0.23
363,0,0,1,0.0,-15.08,0.2988,,,,,0.228
364,1,1,1,0.955,-58.58,0.5917,,,,,0.226
365,1,0,0,0.0,-55.43,0.6238,,,,,0.224
366,1,0,0,0.0,-48.58,0.5286,,,,,0.222
367,1,0,1,0.0,-30.98,0.4382,,,,,0.22
368,0,0,1,0.0,-30.67,0.4651,,,,,0.218
369,1,1,1,0.559,-64.36,0.5278,,,,,0.216
370,0,0,1,0.0,-32.69,0.4044,,,,,0.213
371,0,0,0,0.0,-38.13,0.421,,,,,0.211
372,1,1,0,0.733,-67.15,0.596,,,,,0.209
373,0,1,0,1.217,-118.11,1.1396,,,,,0.207
374,0,0,1,0.0,-28.96,0.3557,,,,,0.205
375,1,0,0,0.0,-25.85,0.3463,,,,,0.203
376,1,1,1,0.24,-35.55,0.4446,,,,,0.201
377,1,1,0,0.417,-95.18,0.7128,,,,,0.198
378,1,0,1,0.0,-24.25,0.315,,,,,0.196
379,0,1,1,0.317,-50.68,0.4926,,,,,0.194
380,1,1,1,0.955,-84.37,0.684,,,,,0.192
381,0,0,0,0.0,-14.28,0.2306,,,,,0.19
382,0,0,0,0.0,-18.46,0.3301,,,,,0.188
383,0,1,0,0.379,-77.85,0.6675,,,,,0.186
384,0,1,0,0.485,-55.88,0.6901,,,,,0.184
385,0,0,1,0.0,-18.14,0.3041,,,,,0.181
386,0,1,0,0.429,-52.3,0.5315,,,,,0.179
387,0,0,0,0.0,-21.32,0.3506,,,,,0.177
388,1,0,0,0.0,-23.53,0.3669,,,,,0.175
389,0,0,1,0.0,-18.0,0.2766,,,,,0.173
390,0,1,1,0.886,-80.28,0.8603,,,,,0.171
391,1,0,1,0.0,-54.69,0.5159,,,,,0.169
392,1,0,1,0.0,-14.97,0.2778,,,,,0.167
393,1,0,0,0.0,-18.87,0.277,,,,,0.165
394,1,0,0,0.0,-21.93,0.308,,,,,0.162
395,1,0,1,0.0,-17.77,0.2971,,,,,0.16
396,0,0,1,0.0,-34.82,0.4113,,,,,0.158
397,1,1,1,0.711,-150.9,1.1383,,,,,0.156
398,0,0,0,0.0,-25.59,0.321,,,,,0.154
399,0,0,1,0.0,-27.53,0.4338,,,,,0.152
400,1,1,1,1.055,-111.98,0.8369,0.5336,0.3882,0.4927,0.7198,0.15
401,1,1,0,0.901,-131.95,0.8791,,,,,0.147
402,0,1,1,0.094,-42.91,0.4679,,,,,0.145
403,0,1,0,0.704,-118.05,0.9438,,,,,0.143
404,0,0,1,0.0,-32.08,0.433,,,,,0.141
405,1,0,0,0.0,-32.4,0.3939,,,,,0.139
406,0,0,0,0.0,-24.67,0.342,,,,,0.137
407,1,0,1,0.0,-34.03,0.3647,,,,,0.135
408,1,0,0,0.0,-20.3,0.2775,,,,,0.133
409,0,0,1,0.0,-22.72,0.363,,,,,0.13
410,0,1,1,0.121,-41.15,0.4788,,,,,0.128
411,0,1,0,0.003,-33.96,0.4199,,,,,0.126
412,0,0,0,0.0,-10.86,0.221,,,,,0.124
413,0,1,0,1.083,-114.41,0.8627,,,,,0.122
414,0,1,0,0.429,-62.87,0.5942,,,,,0.12
415,1,0,0,0.0,-22.69,0.3752,,,,,0.118
416,1,0,1,0.0,-54.88,0.6049,,,,,0.116
417,0,0,0,0.0,-32.67,0.4155,,,,,0.113
418,1,0,0,0.0,-26.32,0.3792,,,,,0.111
419,0,0,0,0.0,-19.52,0.301,,,,,0.109
420,1,0,1,0.0,-39.91,0.4294,,,,,0.107
421,1,1,0,0.071,-22.41,0.3406,,,,,0.105
422,1,1,1,0.978,-87.58,0.9154,,,,,0.103
423,1,0,0,0.0,-52.13,0.518,,,,,0.101
424,1,0,0,0.0,-31.96,0.4181,,,,,0.098
425,1,0,0,0.0,-48.41,0.4503,,,,,0.096
426,0,0,1,0.0,-33.18,0.4221,,,,,0.094
427,0,0,1,0.0,-58.49,0.5453,,,,,0.092
428,1,1,1,0.631,-112.4,0.9216,,,,,0.09
429,0,1,1,1.061,-112.89,0.9688,,,,,0.088
430,1,0,0,0.0,-44.1,0.5177,,,,,0.086
431,0,0,0,0.0,-45.62,0.5217,,,,,0.084
432,1,0,0,0.0,-46.96,0.4715,,,,,0.082
433,0,0,0,0.0,-10.4,0.2227,,,,,0.079
