episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
362,0,1,0,1.264,-50.99,0.947,,,,,0.23
363,0,0,1,0.0,-9.4,0.3906,,,,,0.228
364,1,1,1,0.955,-22.49,0.6487,,,,,0.226
365,1,0,0,0.0,-23.52,0.6302,,,,,0.224
366,1,0,0,0.0,-20.97,0.5698,,,,,0.222
367,1,0,1,0.0,-14.57,0.4988,,,,,0.22
368,0,0,1,0.0,-15.49,0.5129,,,,,0.218
369,1,1,1,0.559,-28.02,0.5916,,,,,0.216
370,0,0,1,0.0,-14.31,0.4462,,,,,0.213
371,0,0,0,0.0,-11.59,0.4288,,,,,0.211
372,1,1,0,0.733,-29.13,0.6979,,,,,0.209
373,0,1,0,1.217,-51.84,1.109,,,,,0.207
374,0,0,1,0.0,-13.1,0.4498,,,,,0.205
375,1,0,0,0.0,-11.84,0.4283,,,,,0.203
376,1,1,1,0.24,-12.17,0.4574,,,,,0.201
377,1,1,0,0.417,-36.11,0.762,,,,,0.198
378,1,0,1,0.0,-10.56,0.3696,,,,,0.196
379,0,1,1,0.317,-19.62,0.5264,,,,,0.194
380,1,1,1,0.955,-31.58,0.694,,,,,0.192
381,0,0,0,0.0,-7.28,0.299,,,,,0.19
382,0,0,0,0.0,-11.5,0.4282,,,,,0.188
383,0,1,0,0.379,-28.54,0.6519,,,,,0.186
384,0,1,0,0.485,-26.44,0.7401,,,,,0.184
385,0,0,1,0.0,-9.21,0.3905,,,,,0.181
386,0,1,0,0.429,-18.45,0.533,,,,,0.179
387,0,0,0,0.0,-10.76,0.3905,,,,,0.177
388,1,0,0,0.0,-12.19,0.4184,,,,,0.175
389,0,0,1,0.0,-10.81,0.3725,,,,,0.173
390,0,1,1,0.886,-25.95,0.7977,,,,,0.171
391,1,0,1,0.0,-21.23,0.4875,,,,,0.169
392,1,0,1,0.0,-7.4,0.3025,,,,,0.167
393,1,0,0,0.0,-9.33,0.3194,,,,,0.165
394,1,0,0,0.0,-10.95,0.398,,,,,0.162
395,1,0,1,0.0,-9.07,0.3173,,,,,0.16
396,0,0,1,0.0,-19.89,0.5442,,,,,0.158
397,1,1,1,0.711,-78.69,1.0785,,,,,0.156
398,0,0,0,0.0,-14.35,0.4682,,,,,0.154
399,0,0,1,0.0,-16.91,0.5266,,,,,0.152
400,1,1,1,1.055,-48.68,0.8658,0.6409,0.5188,0.5971,0.8068,0.15
401,1,1,0,0.901,-65.75,0.904,,,,,0.147
402,0,1,1,0.094,-14.68,0.4366,,,,,0.145
403,0,1,0,0.704,-44.88,0.9228,,,,,0.143
404,0,0,1,0.0,-10.17,0.3671,,,,,0.141
405,1,0,0,0.0,-14.57,0.4173,,,,,0.139
406,0,0,0,0.0,-8.11,0.3471,,,,,0.137
407,1,0,1,0.0,-18.8,0.4678,,,,,0.135
408,1,0,0,0.0,-8.5,0.3198,,,,,0.133
409,0,0,1,0.0,-10.34,0.4099,,,,,0.13
410,0,1,1,0.121,-16.72,0.5326,,,,,0.128
411,0,1,0,0.003,-12.9,0.4527,,,,,0.126
412,0,0,0,0.0,-7.84,0.3442,,,,,0.124
413,0,1,0,1.083,-47.53,0.8788,,,,,0.122
414,0,1,0,0.429,-25.54,0.6042,,,,,0.12
415,1,0,0,0.0,-12.38,0.4239,,,,,0.118
416,1,0,1,0.0,-23.78,0.5949,,,,,0.116
417,0,0,0,0.0,-13.36,0.4678,,,,,0.113
418,1,0,0,0.0,-13.19,0.452,,,,,0.111
419,0,0,0,0.0,-6.73,0.2887,,,,,0.109
420,1,0,1,0.0,-17.81,0.4665,,,,,0.107
421,1,1,0,0.071,-11.09,0.3933,,,,,0.105
422,1,1,1,0.978,-36.96,0.8858,,,,,0.103
423,1,0,0,0.0,-20.25,0.551,,,,,0.101
424,1,0,0,0.0,-18.87,0.5316,,,,,0.098
425,1,0,0,0.0,-20.08,0.5584,,,,,0.096
426,0,0,1,0.0,-18.51,0.5443,,,,,0.094
427,0,0,1,0.0,-26.19,0.5927,,,,,0.092
428,1,1,1,0.631,-43.55,0.9091,,,,,0.09
429,0,1,1,1.061,-37.02,0.9168,,,,,0.088
430,1,0,0,0.0,-20.16,0.4565,,,,,0.086
431,0,0,0,0.0,-20.04,0.5414,,,,,0.084
432,1,0,0,0.0,-23.09,0.5253,,,,,0.082
433,0,0,0,0.0,-6.59,0.296,,,,,0.079
434,0,0,0,0.0,-19.82,0.505,,,,,0.077
435,1,1,0,0.745,-40.97,0.7337,,,,,0.075
436,0,1,0,0.326,-17.75,0.5259,,,,,0.073
437,0,0,0,0.0,-9.9,0.365,,,,,0.071
438,1,0,0,0.0,-17.19,0.5358,,,,,0.069
439,0,1,0,0.83,-32.72,0.7669,,,,,0.066
440,1,0,0,0.0,-98.22,0.5767,,,,,0.064
441,0,0,1,0.0,-16.34,0.4858,,,,,0.062
442,0,0,1,0.0,-12.29,0.4582,,,,,0.06
443,0,0,0,0.0,-9.98,0.3859,,,,,0.058
444,1,0,0,0.0,-12.86,0.3928,,,,,0.056
445,0,1,1,1.018,-41.66,0.9076,,,,,0.054
446,1,0,0,0.0,-12.82,0.4268,,,,,0.052
447,1,1,0,1.123,-26.69,0.7397,,,,,0.05
448,1,0,1,0.0,-16.79,0.4931,,,,,0.05
449,1,1,1,0.442,-31.78,0.7574,,,,,0.05
450,1,1,0,1.04,-50.63,1.0341,0.5889,0.4586,0.5403,0.7677,0.05
451,0,1,1,0.61,-30.99,0.6464,,,,,0.05
452,1,1,1,0.13,-19.38,0.5455,,,,,0.05
453,1,0,1,0.0,-20.96,0.5387,,,,,0.05
